Name,Rank,Tuition and fees
University of North Florida,153,"$17,325 "
Nova Southeastern University,206,"$27,660 "
Northwest Florida State College,NA,NA
Everest University-North Orlando,NA,NA
Orange Technical College-Orlando Campus,NA,NA
Palm Beach Atlantic University,NA,NA
Palm Beach State College,NA,NA
Pasco-Hernando State College,NA,NA
Pensacola State College,NA,NA
Pinellas Technical College-Clearwater,NA,NA
Polk State College,NA,NA
Radford M Locklin Technical Center,NA,NA
Saint Vincent de Paul Regional Seminary,NA,NA
Ridge Technical College,NA,NA
Ringling College of Art and Design,NA,NA
Toni & Guy Hairdressing Academy-Jacksonville,NA,NA
Robert Morgan Educational Center and Technical College,NA,NA
Rollins College,NA,NA
First Coast Technical College,NA,NA
Saint Leo University,NA,NA
St Petersburg College,NA,NA
Pinellas Technical College-St. Petersburg,NA,NA
Santa Fe College,NA,NA
Suncoast Technical College,NA,NA
Argosy University-Sarasota,NA,NA
Seminole State College of Florida,NA,NA
Sheridan Technical College,NA,NA
Saint John Vianney College Seminary,NA,NA
Saint Johns River State College,NA,NA
South Florida State College,NA,NA
University of South Florida-Main Campus,NA,NA
St Thomas University,NA,NA
Stetson University,NA,NA
Southeastern University,NA,NA
Bene's Career Academy,NA,NA
RIVEROAK Technical College,NA,NA
Tallahassee Community College,NA,NA
Talmudic College of Florida,NA,NA
Altierus Career College-Tampa,NA,NA
The University of Tampa,NA,NA
Big Bend Technical College,NA,NA
Tom P Haney Technical Center,NA,NA
Trinity Baptist College,NA,NA
Trinity College of Florida,NA,NA
Fashion Focus Hair Academy,NA,NA
Valencia College,NA,NA
Warner University,NA,NA
Florida Panhandle Technical College,NA,NA
Webber International University,NA,NA
Rasmussen College-Florida,NA,NA
The University of West Florida,NA,NA
Orange Technical College-Westside Campus,NA,NA
William T McFatter Technical College,NA,NA
Orange Technical College-Winter Park Campus,NA,NA
Withlacoochee Technical College,NA,NA
Abraham Baldwin Agricultural College,NA,NA
Agnes Scott College,NA,NA
Interactive College of Technology-Chamblee,NA,NA
Interactive College of Technology-Morrow,NA,NA
Albany Technical College,NA,NA
Darton State College,NA,NA
Albany State University,NA,NA
Andrew College,NA,NA
Armstrong State University,NA,NA
The Art Institute of Atlanta,NA,NA
Georgia Career Institute,NA,NA
Atlanta Technical College,NA,NA
Point University,NA,NA
